,,V1,V2
Jan-99,10,31%,69%
Feb-99,7,25%,75%
Mar-99,17,19%,81%
Apr-99,1,58%,42%
May-99,20,17%,83%
Jun-99,15,34%,66%
Jul-99,13,23%,77%
Aug-99,3,22%,78%
Sep-99,26,34%,66%
Oct-99,24,23%,77%
Nov-99,22,19%,81%
Dec-99,5,16%,84%
Jan-00,11,16%,84%
Feb-00,8,16%,84%
Mar-00,18,17%,83%
Apr-00,2,11%,89%
May-00,21,28%,72%
Jun-00,16,15%,85%
Jul-00,14,25%,75%
Aug-00,4,20%,80%
Sep-00,27,56%,44%
Oct-00,25,59%,41%
Nov-00,23,83%,17%
Dec-00,6,85%,15%
Jan-01,12,90%,10%
Feb-01,9,84%,16%
Mar-01,19,59%,41%
